ZipCode,State,CombinedRate
36271,AL,0.07
36272,AL,0.1
36273,AL,0.06
36274,AL,0.095
36275,AL,0.075
36276,AL,0.06
36277,AL,0.1
36278,AL,0.06
36279,AL,0.07
36280,AL,0.06
36301,AL,0.09
36302,AL,0.09
36303,AL,0.09
36305,AL,0.09
36310,AL,0.06
36311,AL,0.06
36312,AL,0.05
36313,AL,0.06
36314,AL,0.08
36316,AL,0.06
36317,AL,0.06
36318,AL,0.06
36319,AL,0.06
36320,AL,0.05
36321,AL,0.07
36322,AL,0.09
36323,AL,0.05
36330,AL,0.09
36340,AL,0.095
36343,AL,0.05
36344,AL,0.06
36345,AL,0.09
36346,AL,0.05
36349,AL,0.08
36350,AL,0.06
36351,AL,0.05
36352,AL,0.05
36353,AL,0.06
36360,AL,0.09
36361,AL,0.09
36362,AL,0.06
36370,AL,0.05
36371,AL,0.09
36373,AL,0.06
36374,AL,0.06
36375,AL,0.06
36376,AL,0.08
36401,AL,0.06
36420,AL,0.095
36421,AL,0.06
36425,AL,0.065
36426,AL,0.08
36429,AL,0.06
36432,AL,0.06
36435,AL,0.075
36436,AL,0.05
36439,AL,0.085
36441,AL,0.08
36442,AL,0.09
36444,AL,0.065
36445,AL,0.065
36446,AL,0.08
36449,AL,0.065
36451,AL,0.05
36453,AL,0.06
36454,AL,0.06
36455,AL,0.08
36456,AL,0.055
36458,AL,0.0775
36460,AL,0.09
36467,AL,0.09
36470,AL,0.065
36471,AL,0.065
36473,AL,0.06
36474,AL,0.06
36475,AL,0.06
36476,AL,0.08
36477,AL,0.09
36480,AL,0.065
36481,AL,0.065
36482,AL,0.05
36483,AL,0.06
36502,AL,0.085
36503,AL,0.09
36505,AL,0.075
36507,AL,0.085
36509,AL,0.1
36511,AL,0.07
36512,AL,0.055
36513,AL,0.04
36518,AL,0.04
36521,AL,0.055
36522,AL,0.09
36523,AL,0.055
36524,AL,0.05
36525,AL,0.095
36526,AL,0.095
36527,AL,0.085
36528,AL,0.1
36529,AL,0.04
36530,AL,0.085
36532,AL,0.08
36533,AL,0.09
36535,AL,0.09
36536,AL,0.09
36538,AL,0.04
36539,AL,0.04
36540,AL,0.05
36541,AL,0.055
36542,AL,0.1
36543,AL,0.08
36544,AL,0.055
36545,AL,0.09
36547,AL,0.1
36548,AL,0.04
36549,AL,0.07
36550,AL,0.07
36551,AL,0.08
36553,AL,0.04
36555,AL,0.09
36556,AL,0.04
36558,AL,0.04
36559,AL,0.08
36560,AL,0.055
36561,AL,0.1
36562,AL,0.07
36564,AL,0.08
36567,AL,0.07
36568,AL,0.0775
36569,AL,0.04
36571,AL,0.1
36572,AL,0.1
36574,AL,0.07
36575,AL,0.07
36576,AL,0.08
36577,AL,0.095
36578,AL,0.0775
36579,AL,0.07
36580,AL,0.07
36581,AL,0.04
36582,AL,0.08
36583,AL,0.04
36584,AL,0.04
36585,AL,0.04
36587,AL,0.055
36590,AL,0.1
36601,AL,0.1
36602,AL,0.1
36603,AL,0.1
36604,AL,0.1
36605,AL,0.1
36606,AL,0.1
36607,AL,0.1
36608,AL,0.1
36609,AL,0.1
36610,AL,0.1
36611,AL,0.1
36612,AL,0.1
36613,AL,0.1
36615,AL,0.1
36616,AL,0.1
36617,AL,0.1
36618,AL,0.1
36619,AL,0.08
36625,AL,0.1
36628,AL,0.1
36630,AL,0.1
